timestamp,open,high,low,close,volume,volume_quote
1600300800.0,2.231,2.339,2.031,2.164,788367.991,1718215.112665
1600387200.0,2.172,2.31,1.888,2.028,1678727.17,3430503.392376
1600473600.0,2.028,2.23,1.818,1.907,2201299.417,4429379.826982
1600560000.0,1.913,2.18,1.81,2.13,1768520.199,3496326.106661
1600646400.0,2.13,2.134,1.821,1.878,1189882.991,2329577.481108
1600732800.0,1.877,1.944,1.364,1.476,2525410.19,3991072.491606
1600819200.0,1.477,1.605,1.286,1.472,2364265.805,3332341.708945
1600905600.0,1.472,1.517,1.186,1.2,2448382.614,3346226.402335
1600992000.0,1.2,1.55,1.16,1.507,2053976.233,2731415.685857
1601078400.0,1.507,1.689,1.36,1.604,1945754.477,2921559.750292
1601164800.0,1.604,1.74,1.473,1.522,1343975.131,2126679.813062
1601251200.0,1.513,1.576,1.315,1.431,1198951.946,1712041.909867
1601337600.0,1.431,1.539,1.25,1.357,2802375.867,3831410.802971
1601424000.0,1.357,1.413,1.134,1.208,3018150.189,3760340.291437
1601510400.0,1.206,1.52,1.112,1.438,5613479.541,7198153.745489
1601596800.0,1.436,1.535,1.217,1.4,3811256.792,5228311.396524
1601683200.0,1.399,1.4,1.167,1.3,2998730.9,3807546.660232
1601769600.0,1.3,1.36,1.252,1.254,1279206.794,1677583.63302
1601856000.0,1.26,1.297,1.207,1.253,1035046.372,1290189.647816
1601942400.0,1.254,1.267,1.174,1.197,1022721.224,1242479.960697
1602028800.0,1.198,1.207,1.01,1.029,2446272.187,2641002.796739
1602115200.0,1.028,1.172,0.918,1.061,2563411.904,2648808.25566
1602201600.0,1.062,1.229,0.982,1.223,2106276.416,2320524.919563
1602288000.0,1.227,1.356,1.18,1.264,1964742.519,2500441.818299
1602374400.0,1.264,1.345,1.19,1.301,1563632.624,1991182.312108
1602460800.0,1.303,1.516,1.291,1.483,2087427.363,2958775.636538
1602547200.0,1.486,1.599,1.317,1.518,1953906.833,2859942.350219
1602633600.0,1.519,1.58,1.429,1.52,1225138.92,1840536.936948
1602720000.0,1.519,1.613,1.372,1.42,1526801.377,2290429.287564
1602806400.0,1.415,1.42,1.248,1.35,1801095.414,2396144.626937
1602892800.0,1.35,1.392,1.202,1.216,853737.097,1096651.328007
1602979200.0,1.215,1.305,1.213,1.285,671770.616,849262.292373
1603065600.0,1.279,1.469,1.273,1.344,1335425.1,1859001.587568
1603152000.0,1.34,1.419,1.249,1.281,1457075.177,1918206.284636
1603238400.0,1.278,1.289,1.112,1.141,1313781.757,1552627.292814
1603324800.0,1.141,1.284,1.107,1.19,1954977.62,2331423.45399
1603411200.0,1.19,1.329,1.17,1.278,1701383.652,2156459.967001
1603497600.0,1.277,1.35,1.208,1.244,1000638.674,1276801.194462
1603584000.0,1.248,1.45,1.21,1.4,1560687.504,2081256.267236
1603670400.0,1.4,1.495,1.323,1.469,1993453.941,2787809.007515
1603756800.0,1.471,1.514,1.232,1.335,2178274.75,2978908.590936
1603843200.0,1.33,1.335,1.236,1.267,1323504.795,1686637.010833
1603929600.0,1.267,1.285,1.15,1.174,1323814.343,1593263.206243
1604016000.0,1.177,1.263,1.15,1.157,1158429.484,1381800.005906
1604102400.0,1.157,1.172,1.041,1.134,1333576.6,1473689.144371
1604188800.0,1.135,1.174,1.067,1.09,972426.405,1102061.532956
1604275200.0,1.088,1.14,1.072,1.133,829355.883,914510.123174
1604361600.0,1.132,1.16,1.047,1.09,1032174.904,1130869.27576
1604448000.0,1.088,1.089,0.955,0.973,1281914.025,1277110.447001
1604534400.0,0.981,1.068,0.95,1.022,1337527.565,1359668.69643
1604620800.0,1.02,1.11,0.98,1.032,1614859.827,1681885.014364
1604707200.0,1.032,1.229,1.03,1.199,2238679.665,2569934.667928
1604793600.0,1.195,1.3,1.001,1.1,3177149.218,3726440.875543
1604880000.0,1.097,1.167,1.058,1.118,1370309.774,1527165.735163
1604966400.0,1.119,1.159,1.042,1.081,2207264.461,2425654.803528
1605052800.0,1.08,1.26,1.066,1.226,3044655.212,3567624.785722
1605139200.0,1.227,1.254,1.132,1.148,2326103.647,2781450.081087
1605225600.0,1.148,1.17,1.033,1.087,2428394.794,2681952.196272
1605312000.0,1.086,1.195,1.078,1.159,1970572.712,2260934.980889
