timestamp,open,high,low,close,volume,volume_quote
1603324800.0,0.4,1.49,0.18,0.7803,36220748.78,29304538.509828
1603411200.0,0.7825,0.827,0.7273,0.7844,4813897.4,3708060.681353
1603497600.0,0.7818,1.224,0.7779,1.1838,19189538.3,19373070.437484
1603584000.0,1.1904,1.1904,0.9321,0.9466,10111233.89,10475890.665401
1603670400.0,0.9503,0.99,0.8431,0.9033,5756099.21,5239301.341646
1603756800.0,0.9032,0.9214,0.7646,0.8218,4354886.4,3616958.652679
1603843200.0,0.82,0.8396,0.756,0.781,2465394.99,1949590.273196
1603929600.0,0.7824,0.8035,0.6666,0.6776,2230367.6,1625928.285547
1604016000.0,0.68,0.8611,0.659,0.7977,5624875.12,4409802.376629
1604102400.0,0.7959,0.8019,0.6722,0.7255,3957516.02,2899912.272431
1604188800.0,0.7225,0.8097,0.7126,0.7841,2009680.42,1537073.239927
1604275200.0,0.784,0.82,0.7402,0.751,1020512.61,783417.730883
1604361600.0,0.751,0.7839,0.7135,0.7274,921293.96,690075.262329
1604448000.0,0.7277,0.729,0.6501,0.6978,912018.3,625908.797508
1604534400.0,0.6968,0.7456,0.6689,0.7135,1008858.43,711409.780366
1604620800.0,0.709,0.744,0.6701,0.7021,1284779.04,910197.328898
1604707200.0,0.7015,0.7581,0.6749,0.7528,2951742.84,2127379.273083
1604793600.0,0.7527,0.9081,0.7,0.7832,3433305.57,2779157.878675
1604880000.0,0.7789,0.8957,0.7706,0.835,2236073.1,1877479.17295
1604966400.0,0.8364,1.04,0.8321,0.9773,4921277.88,4594361.870612
1605052800.0,0.9796,1.0622,0.9305,1.0147,2722824.4,2690609.458953
1605139200.0,1.004,1.0098,0.88,0.9089,2239004.15,2083715.207563
1605225600.0,0.908,0.9739,0.895,0.9172,1256397.3,1177295.463525
1605312000.0,0.9195,1.09,0.91,1.0634,1912931.49,1958444.573744
1605398400.0,1.0685,1.3866,1.0091,1.2915,5678641.4,6769177.711527
1605484800.0,1.293,1.452,1.2,1.2875,4159059.26,5421085.193705
1605571200.0,1.2832,1.6364,1.2389,1.6029,4548989.13,6587069.885233
1605657600.0,1.6029,1.6988,1.2843,1.4667,4235394.43,6337046.786754
1605744000.0,1.4658,1.5451,1.2701,1.3694,2495835.67,3420579.866261
1605830400.0,1.3747,1.46,1.21,1.2999,2069153.33,2783270.619728
1605916800.0,1.2999,1.544,1.29,1.411,1973452.11,2804689.654056
1606003200.0,1.4109,1.483,1.334,1.3743,2036623.8,2854969.897396
1606089600.0,1.3743,1.4377,1.22,1.3107,1756043.97,2302486.383352
1606176000.0,1.3182,1.5084,1.2833,1.414,1955280.97,2775580.674236
1606262400.0,1.4202,1.4567,1.2815,1.2999,1676830.55,2278394.078482
1606348800.0,1.302,1.3446,1.2102,1.2103,1179418.11,1528032.624921
1606435200.0,1.2129,1.2554,0.95,1.0558,2460652.24,2622156.215155
1606521600.0,1.0581,1.11,1.0312,1.0918,1098649.72,1177325.690749
1606608000.0,1.0983,1.1762,1.0889,1.1521,1135844.75,1296180.536359
1606694400.0,1.1502,1.185,1.1033,1.1341,760671.16,874970.46292
1606780800.0,1.133,1.2405,1.0701,1.1879,1498265.78,1702737.270247
1606867200.0,1.188,1.3284,1.1684,1.2565,1875398.15,2348689.228299
1606953600.0,1.2503,1.5666,1.2421,1.47,3242196.46,4710884.688484
1607040000.0,1.4809,1.4809,1.351,1.454,1558567.43,2197002.774363
1607126400.0,1.454,1.695,1.4234,1.5689,3013806.05,4669186.776331
1607212800.0,1.5685,1.8888,1.532,1.6942,4806408.67,8260891.58685
1607299200.0,1.6942,1.7028,1.5506,1.5902,1407231.25,2292855.525602
1607385600.0,1.5902,1.7387,1.5232,1.729,1566526.06,2550578.577705
1607472000.0,1.74,2.2601,1.7122,1.8263,6582568.92,12814940.96382
1607558400.0,1.8291,2.359,1.7469,2.185,3897664.52,7866150.731093
1607644800.0,2.186,2.39,1.9699,2.05,2401575.58,5158997.603818
1607731200.0,2.0505,2.0555,1.77,1.9004,1978973.63,3707025.425733
1607817600.0,1.9005,2.1717,1.884,2.0921,1679405.88,3485944.795917
1607904000.0,2.092,2.288,2.0111,2.2697,1284409.17,2736141.381018
1607990400.0,2.271,2.9283,2.1711,2.8317,5441893.81,14218967.961452
1608076800.0,2.8316,3.4427,2.7,3.3,6557190.63,20581053.07288
1608163200.0,3.3,3.9368,2.95,3.153,7461465.32,25593631.850912
1608249600.0,3.161,3.397,2.9388,2.967,4251870.93,13463829.825831
1608336000.0,2.9636,3.5671,2.8053,3.267,3636126.01,11674117.611993
1608422400.0,3.267,3.377,3.0263,3.133,1988550.85,6284098.120334
1608508800.0,3.124,3.18,2.91,2.9954,1439964.09,4338064.252155
1608595200.0,2.9821,3.9,2.6939,3.3628,3615700.9,12233572.264357
1608681600.0,3.3628,4.78,3.3122,4.5158,6608345.14,25741350.92591
1608768000.0,4.51,5.35,3.53,3.94,8453970.64,39194003.690013
1608854400.0,3.9272,5.0647,3.7489,4.5924,4036207.34,18282823.563889
1608940800.0,4.5924,4.8466,3.9759,4.0792,1974046.01,8639087.21775
1609027200.0,4.087,4.74,3.8349,4.2554,2746730.73,11651449.018915
1609113600.0,4.2649,4.95,4.1901,4.8049,2616862.2,12162090.403173
1609200000.0,4.802,5.0914,4.4007,4.754,2129960.4,10280068.619028
1609286400.0,4.7443,4.7629,4.2102,4.316,1607612.2,7180469.675906
1609372800.0,4.3212,4.65,3.785,3.865,1358630.54,5707913.31003
1609459200.0,3.8679,4.34,3.865,4.0482,920830.45,3781279.069692
1609545600.0,4.0554,4.2,3.9028,4.0817,645572.41,2637782.891241
1609632000.0,4.1019,4.1019,3.5289,3.6083,1191655.36,4503000.105414
1609718400.0,3.5987,4.5206,3.5289,4.4294,1864950.01,7613785.491018
1609804800.0,4.4294,4.75,3.8552,4.35,1430997.32,6306626.667275
1609891200.0,4.35,4.868,4.2867,4.57,1251209.96,5794391.695221
1609977600.0,4.5776,4.9139,4.3846,4.5886,1224373.97,5624749.946077
1610064000.0,4.592,4.8227,4.0481,4.6597,1375150.41,6246003.152646
1610150400.0,4.6638,4.97,4.4215,4.6571,976763.42,4611691.21555
1610236800.0,4.6571,4.86,4.47,4.742,478211.17,2242163.096268
1610323200.0,4.7459,4.88,4.3027,4.4075,718039.78,3277296.037521
1610409600.0,4.4107,4.4303,3.75,4.419,1024126.13,4190424.299718
1610496000.0,4.4303,5.034,4.271,4.8839,1096350.05,5116958.18377
1610582400.0,4.8839,5.853,4.8498,5.4922,3233387.56,17509734.898675
1610668800.0,5.4922,6.95,5.4712,6.74,1923595.29,12151405.971775
1610755200.0,6.749,6.7505,5.2074,6.4147,1357848.22,8218673.314974
1610841600.0,6.4282,6.6267,6.0154,6.2097,825260.23,5235495.484152
1610928000.0,6.2014,6.4583,5.85,6.1786,604324.4,3709544.645071
1611014400.0,6.1787,7.52,6.1414,7.2256,1282159.79,8809580.615161
1611100800.0,7.2389,11.2,6.95,8.6483,5101703.89,46742141.516522
1611187200.0,8.65,9.3,7.7612,8.5127,1599171.6,13545907.72591
1611273600.0,8.4972,8.5147,7.01,7.0437,1292815.26,9883548.58356
1611360000.0,7.0112,9.45,6.63,8.8427,1788933.77,14842892.515306
1611446400.0,8.8419,9.3,8.3675,8.4209,833254.36,7302840.841976
