timestamp,open,high,low,close,volume,volume_quote
1600300800.0,1.662,1.674,1.464,1.518,10211716.401,15863436.272008
1600387200.0,1.519,1.656,1.319,1.534,26410234.884,38520784.325563
1600473600.0,1.535,1.875,1.53,1.694,35024321.611,59213246.178848
1600560000.0,1.694,1.948,1.604,1.775,24543400.682,43914017.853075
1600646400.0,1.775,1.935,1.573,1.642,23131230.807,40236119.707185
1600732800.0,1.644,1.75,1.349,1.411,17956401.76,27383623.483147
1600819200.0,1.412,1.463,1.321,1.391,13041408.763,18231334.916725
1600905600.0,1.39,1.452,1.215,1.269,25049977.035,33335096.767759
1600992000.0,1.27,1.478,1.245,1.411,18707194.737,25830571.905261
1601078400.0,1.41,1.45,1.333,1.403,12728490.026,17765773.586997
1601164800.0,1.405,1.443,1.351,1.395,9236067.556,12985857.884576
1601251200.0,1.395,1.45,1.324,1.369,7500802.893,10363672.30504
1601337600.0,1.369,1.394,1.25,1.271,8124207.768,10909635.761591
1601424000.0,1.267,1.288,1.196,1.254,9617591.868,12023461.047282
1601510400.0,1.253,1.326,1.237,1.283,8414892.724,10782481.002737
1601596800.0,1.283,1.35,1.204,1.251,7570278.702,9720233.271809
1601683200.0,1.25,1.263,1.034,1.117,9282085.391,10541162.727161
1601769600.0,1.118,1.127,1.049,1.057,4229582.096,4666517.746475
1601856000.0,1.057,1.068,0.856,0.877,13878097.461,12887899.543244
1601942400.0,0.878,0.951,0.818,0.845,20070671.818,17617221.701055
1602028800.0,0.846,0.852,0.626,0.639,39543625.894,28002812.326579
1602115200.0,0.639,0.685,0.551,0.677,34416780.633,20918241.526857
1602201600.0,0.676,0.799,0.596,0.776,30020199.213,21074701.406188
1602288000.0,0.776,0.865,0.734,0.827,19787864.082,15818737.103292
1602374400.0,0.826,0.873,0.733,0.748,18960669.936,14846137.61078
1602460800.0,0.748,0.786,0.695,0.76,15230698.181,11396085.817907
1602547200.0,0.76,0.801,0.729,0.761,9029535.962,6952601.886773
1602633600.0,0.76,0.77,0.71,0.736,7100939.813,5284577.179123
1602720000.0,0.737,0.766,0.69,0.719,7426841.845,5422245.95116
1602806400.0,0.719,0.721,0.666,0.704,7798092.428,5422912.875861
1602892800.0,0.704,0.707,0.64,0.657,8937403.35,5992769.131524
1602979200.0,0.657,0.68,0.642,0.663,5136890.151,3399713.349547
1603065600.0,0.664,0.718,0.661,0.714,5774098.072,4006706.363533
1603152000.0,0.713,0.73,0.665,0.675,4609354.706,3188633.603712
1603238400.0,0.675,0.678,0.61,0.627,6048227.493,3857345.553041
1603324800.0,0.626,0.697,0.621,0.665,6712996.412,4436074.074825
1603411200.0,0.664,0.719,0.658,0.667,6781796.062,4660144.007781
1603497600.0,0.668,0.697,0.643,0.664,5236880.661,3511625.5289
1603584000.0,0.664,0.672,0.643,0.657,2204987.415,1450388.850137
1603670400.0,0.656,0.659,0.615,0.623,2498703.4,1594109.328015
1603756800.0,0.623,0.644,0.588,0.625,6281550.48,3868052.163488
1603843200.0,0.624,0.716,0.623,0.698,12990578.39,8697561.81314
1603929600.0,0.698,0.705,0.608,0.638,12393377.722,8045069.42085
1604016000.0,0.638,0.678,0.619,0.644,7835640.823,5090160.80255
1604102400.0,0.643,0.649,0.583,0.598,7519001.648,4583262.133316
1604188800.0,0.598,0.636,0.59,0.606,3995957.423,2447378.168224
1604275200.0,0.605,0.616,0.593,0.607,2351754.02,1422554.006964
1604361600.0,0.608,0.624,0.581,0.583,5803640.866,3457727.817701
1604448000.0,0.582,0.582,0.504,0.525,7247971.788,3841840.277917
1604534400.0,0.525,0.531,0.472,0.49,5204562.463,2594019.230993
1604620800.0,0.492,0.545,0.48,0.515,7231499.168,3736289.055219
